"","HCC1806","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2338","C5orf60",-4.59367781266563,-4.59367781266563,-7.93813114234486,0.000224036106658481,0.000498137890005714,1.29826174334804
"5690","EVL",3.12097996421554,3.12097996421554,7.93609028006628,0.000224352503477895,0.00049878798016258,1.29688882139592
"23188","ZNF283",2.87576802409109,2.87576802409109,7.93412146852585,0.000224658219365283,0.000499414187466021,1.29556399575974
"16909","PTRH1",2.60053349827985,2.60053349827985,7.93358820350289,0.000224741107231441,0.000499544968064747,1.29520509525072
"18014","RXFP4",-4.58204365279615,-4.58204365279615,-7.93192195623287,0.000225000327495378,0.00050006762286648,1.29408349630856
"17359","RELL2",2.67517325818119,2.67517325818119,7.93093575942447,0.000225153914090007,0.000500355418030715,1.2934195350646
"19367","SNORA62",-4.58073163330561,-4.58073163330562,-7.92906940999935,0.0002254449038761,0.000500948467521372,1.29216275521684
"2342","C6orf1",3.44990767260808,3.44990767260808,7.92862845449912,0.000225513718379064,0.000501047759698401,1.2918657722931
"17897","RPS7P5",-4.97118451742327,-4.97118451742327,-7.92819249010781,0.000225581777830953,0.000501145353232024,1.29157213276696
"136","ACAN",-6.85844377890236,-Inf,-9.57335311362265,0.000225829373129206,0.000501588077123538,1.32215761805488
"19363","SNORA5C",-6.85844377890236,-Inf,-9.57335311362265,0.000225829373129206,0.000501588077123538,1.32215761805488
"6871","GALNT9",-6.66345627866197,-Inf,-9.57230990835169,0.000225945563224835,0.000501738810861265,1.32172549524104
"17281","RBMXL2",-6.66345627866197,-Inf,-9.57230990835169,0.000225945563224835,0.000501738810861265,1.32172549524104
"2493","CAB39L",2.87543266781759,2.87543266781759,7.92355059222153,0.000226307908603414,0.000502489705105849,1.28844451135319
"20532","TAS2R19",-4.40219270549108,-4.40219270549108,-7.9228009655866,0.000226425425484046,0.00050269688444095,1.28793923580745
"22131","UBXN11",3.1831163834529,3.1831163834529,7.9218074098813,0.000226581291071393,0.000502989149999731,1.28726946110285
"21637","TRIM43",-4.59092957948074,-4.59092957948074,-7.92094671732181,0.000226716413720944,0.000503235310626979,1.28668917627995
"11650","MC3R",-6.80954249183166,-Inf,-9.56500273278565,0.00022676142473506,0.000503281422041846,1.31869674483786
"2158","C1QTNF6",4.04876371366551,4.04876371366551,7.91843337531743,0.000227111523633907,0.000504004572860755,1.28499426164438
"12635","MIR4485",-4.28933238987051,-4.28933238987052,-7.91472507618077,0.00022769593994578,0.000505247509400954,1.2824924126879
"21830","TTBK2",3.52202523658805,3.52202523658804,7.91047353225468,0.000228368108191178,0.000506684877293494,1.27962245022084
"19697","SNX10",4.47783075356184,4.47783075356184,7.90641437060581,0.00022901200007128,0.000508059207423091,1.27688075062857
"21805","TSPY26P",-5.04699923828409,-5.04699923828409,-7.90244484760906,0.000229643701365326,0.000509406202206068,1.27419808074438
"6931","GBP1",5.35182935740814,5.35182935740814,7.90187370574788,0.000229734757139346,0.000509553752616803,1.27381197017116
"6407","FITM1",-4.24140113294998,-4.24140113294998,-7.90080035778972,0.000229905991255446,0.000509879088798392,1.27308626785743
"7538","GSDMD",4.32339426766184,4.32339426766184,7.89948814122624,0.000230115533011317,0.0005102893040346,1.27219891486876
"15894","PIR",3.42454421944982,3.42454421944982,7.89803708763967,0.000230347501841167,0.000510749159181188,1.27121748599674
"22245","UPK3BL",3.64969123218209,3.64969123218209,7.89351792193364,0.000231071678293006,0.000512300170804427,1.26815963593154
"4140","CT47A1",-8.60148174509374,-8.60148174509374,-7.88894727863439,0.000231806779402277,0.000513875069316566,1.26506497409712
"6811","GABRR1",-6.67645432253393,-Inf,-9.51345198615888,0.00023261815027871,0.0005156186902794,1.29723326264118
"4027","CRSP8P",-4.75448119392057,-4.75448119392057,-7.88172051858737,0.000232974584165562,0.000516253126142583,1.2601678588485
"11987","MIR1244-1",-5.28587995560621,-5.28587995560621,-7.8815401418499,0.000233003818839792,0.000516253126142583,1.26004556523763
"11988","MIR1244-2",-5.28587995560621,-5.28587995560621,-7.8815401418499,0.000233003818839792,0.000516253126142583,1.26004556523763
"11989","MIR1244-3",-5.28587995560621,-5.28587995560621,-7.8815401418499,0.000233003818839792,0.000516253126142583,1.26004556523763
"13688","MTUS1",5.04220755967856,5.04220755967856,7.8784342127674,0.000233507879366774,0.00051731474608461,1.25793928907193
"4963","DNM1P41",2.74106974889453,2.74106974889453,7.87716901267899,0.000233713569262045,0.000517715197965262,1.25708103333272
"18790","SLC24A1",2.72554959128116,2.72554959128116,7.87467683789913,0.000234119346840192,0.000518558745294569,1.25539000470123
"19099","SLFNL1",-4.44715040121746,-4.44715040121746,-7.87241865605717,0.000234487728221357,0.000519319291437338,1.25385723564025
"19058","SLC7A9",-5.42646131449974,-5.42646131449974,-7.87206190096211,0.000234545987544319,0.000519392922188097,1.25361503905626
"3073","CDADC1",2.39250091622112,2.39250091622112,7.87173556371484,0.000234599294167139,0.000519455570844599,1.25339348210616
"2292","C4BPA",-5.36275783974254,-5.36275783974254,-7.86792709469642,0.000235222436433146,0.000520779815815574,1.25080708206111
"13734","MYADML",-6.69992794997358,-Inf,-9.48902804102941,0.000235455916050421,0.000521241161704369,1.28700504909781
"10835","LOC400794",-5.59758293053289,-5.59758293053289,-7.85887122294062,0.000236711850543896,0.000523965630161389,1.24465149753991
"10541","LOC100652770",-5.141625699602,-5.141625699602,-7.8568980833759,0.000237037814854213,0.000524631232727321,1.24330924438052
"23217","ZNF329",4.39149088198264,4.39149088198264,7.85625913974492,0.000237143479950119,0.000524809161373146,1.24287451484561
"19317","SNORA24",-6.69992794997358,-Inf,-9.4719564627567,0.000237463969867099,0.000525462418402634,1.2798331351529
"10746","LOC339240",-5.51418810496452,-5.51418810496452,-7.85392167183168,0.000237530501659905,0.00052555363526563,1.24128379612194
"10354","LOC100289650",-4.58073163330561,-4.58073163330562,-7.85280436460641,0.000237715755230704,0.000525907485336198,1.2405232490049
"23378","ZNF569",3.48400923863222,3.48400923863222,7.85036040753041,0.000238121554002505,0.000526749128460852,1.23885923818969
"21858","TTC36",-4.93196789108224,-4.93196789108224,-7.84918267259402,0.000238317392674238,0.000527126188632355,1.23805715200612
"20016","SRD5A3-AS1",-4.79038118544379,-4.79038118544379,-7.84871258095531,0.000238395613396317,0.00052724304102402,1.23773696296187
"17887","RPS6KA2-IT1",-7.2282487835473,-Inf,-9.46299625053499,0.000238526095160912,0.000527475438340399,1.27606137320606
"8465","IGFL4",-6.54131921915907,-6.54131921915907,-7.83947373363293,0.000239938940709846,0.000530543297182403,1.23143988408544
"18071","SAMD12",4.7757242805476,4.7757242805476,7.83887704721452,0.000240039011688676,0.000530708057678382,1.23103290813162
